"", "nativeSpeaker", "age", "shoeSize", "score"
1,             yes,   5, 24.83189, 32.29385
2,             yes,   6, 25.95238, 36.63105
3,              no,  11, 30.42170, 49.60593
4,             yes,   7, 28.66450, 40.28456
5,            yes,  11, 31.88207, 55.46085
6,             yes,  10, 30.07843, 52.83124
7,              no,   7, 27.25963, 34.40229
8,             yes,  11, 30.72398, 55.52747
9,             yes,   5, 25.64411, 32.49935
10,             no,   7, 26.69835, 33.93269
11,            yes,  11, 31.86645, 55.46876
12,            yes,  10, 29.15575, 51.34140
13,             no,   9, 29.13156, 41.77098
14,             no,   6, 26.86513, 30.03304
15,             no,   5, 24.23420, 25.62268
